,index,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,class_Iris-versicolor,class_Iris-virginica
0,0,5.1,3.5,1.4,0.2,0,0
1,1,4.9,3.0,1.4,0.2,0,0
2,2,4.7,3.2,1.3,0.2,0,0
3,3,4.6,3.1,1.5,0.2,0,0
4,4,5.0,3.6,1.4,0.2,0,0
5,5,5.4,3.9,1.7,0.4,0,0
6,6,4.6,3.4,1.4,0.3,0,0
7,12,4.8,3.0,1.4,0.1,0,0
8,13,5.7,3.0,1.1,0.1,0,0
9,14,5.8,4.0,1.2,0.2,0,0
10,15,5.7,4.4,1.5,0.4,0,0
11,16,5.4,3.9,1.3,0.4,0,0
12,17,5.1,3.5,1.4,0.3,0,0
13,18,5.7,3.8,1.7,0.3,0,0
14,19,5.1,3.8,1.5,0.3,0,0
15,20,5.4,3.4,1.7,0.2,0,0
16,21,5.1,3.7,1.5,0.4,0,0
17,22,4.6,3.6,1.0,0.2,0,0
18,23,5.1,3.3,1.7,0.5,0,0
19,24,4.8,3.4,1.9,0.2,0,0
20,25,5.0,3.0,1.6,0.2,0,0
21,26,5.0,3.4,1.6,0.4,0,0
22,27,5.2,3.5,1.5,0.2,0,0
23,28,5.2,3.4,1.4,0.2,0,0
24,29,4.7,3.2,1.6,0.2,0,0
25,30,4.8,3.1,1.6,0.2,0,0
26,31,5.4,3.4,1.5,0.4,0,0
27,32,5.2,4.1,1.5,0.1,0,0
28,33,5.5,4.2,1.4,0.2,0,0
29,34,4.9,3.1,1.5,0.1,0,0
30,35,5.0,3.2,1.2,0.2,0,0
31,36,5.5,3.5,1.3,0.2,0,0
32,37,4.9,3.1,1.5,0.1,0,0
33,38,4.4,3.0,1.3,0.2,0,0
34,39,5.1,3.4,1.5,0.2,0,0
35,40,5.0,3.5,1.3,0.3,0,0
36,41,4.5,2.3,1.3,0.3,0,0
37,42,4.4,3.2,1.3,0.2,0,0
38,43,5.0,3.5,1.6,0.6,0,0
39,44,5.1,3.8,1.9,0.4,0,0
40,45,4.8,3.0,1.4,0.3,0,0
41,46,5.1,3.8,1.6,0.2,0,0
42,47,4.6,3.2,1.4,0.2,0,0
43,48,5.3,3.7,1.5,0.2,0,0
44,49,5.0,3.3,1.4,0.2,0,0
45,50,7.0,3.2,4.7,1.4,1,0
46,51,6.4,3.2,4.5,1.5,1,0
47,52,6.9,3.1,4.9,1.5,1,0
48,53,5.5,2.3,4.0,1.3,1,0
49,54,6.5,2.8,4.6,1.5,1,0
50,55,5.7,2.8,4.5,1.3,1,0
51,56,6.3,3.3,4.7,1.6,1,0
52,57,4.9,2.4,3.3,1.0,1,0
53,58,6.6,2.9,4.6,1.3,1,0
54,59,5.2,2.7,3.9,1.4,1,0
55,60,5.0,2.0,3.5,1.0,1,0
56,61,5.9,3.0,4.2,1.5,1,0
57,62,6.0,2.2,4.0,1.0,1,0
58,63,6.1,2.9,4.7,1.4,1,0
59,64,5.6,2.9,3.6,1.3,1,0
60,65,6.7,3.1,4.4,1.4,1,0
61,66,5.6,3.0,4.5,1.5,1,0
62,67,5.8,2.7,4.1,1.0,1,0
63,68,6.2,2.2,4.5,1.5,1,0
64,69,5.6,2.5,3.9,1.1,1,0
65,70,5.9,3.2,4.8,1.8,1,0
66,71,6.1,2.8,4.0,1.3,1,0
67,72,6.3,2.5,4.9,1.5,1,0
68,73,6.1,2.8,4.7,1.2,1,0
69,74,6.4,2.9,4.3,1.3,1,0
70,75,6.6,3.0,4.4,1.4,1,0
71,76,6.8,2.8,4.8,1.4,1,0
72,82,5.8,2.7,3.9,1.2,1,0
73,83,6.0,2.8,5.1,1.6,1,0
74,84,5.4,3.0,4.5,1.5,1,0
75,85,6.0,3.4,4.5,1.6,1,0
76,86,6.7,3.1,4.7,1.5,1,0
77,87,6.3,2.3,4.4,1.3,1,0
78,88,5.6,3.0,4.1,1.3,1,0
79,89,5.5,2.5,4.0,1.3,1,0
80,90,5.5,2.6,4.4,1.2,1,0
81,91,6.1,3.0,4.6,1.4,1,0
82,92,5.8,2.6,4.0,1.2,1,0
83,93,5.0,2.3,3.3,1.0,1,0
84,94,5.6,2.7,4.2,1.3,1,0
85,95,5.7,3.0,4.2,1.2,1,0
86,96,5.7,2.9,4.2,1.3,1,0
87,97,6.2,2.9,4.3,1.3,1,0
88,98,5.1,2.5,3.0,1.1,1,0
89,99,5.7,2.8,4.1,1.3,1,0
90,100,6.3,3.3,6.0,2.5,0,1
91,101,5.8,2.7,5.1,1.9,0,1
92,102,7.1,3.0,5.9,2.1,0,1
93,103,6.3,2.9,5.6,1.8,0,1
94,104,6.5,3.0,5.8,2.2,0,1
95,105,7.6,3.0,6.6,2.1,0,1
96,106,4.9,2.5,4.5,1.7,0,1
97,107,7.3,2.9,6.3,1.8,0,1
98,108,6.7,2.5,5.8,1.8,0,1
99,109,7.2,3.6,6.1,2.5,0,1
100,110,6.5,3.2,5.1,2.0,0,1
101,111,6.4,2.7,5.3,1.9,0,1
102,112,6.8,3.0,5.5,2.1,0,1
103,113,5.7,2.5,5.0,2.0,0,1
104,114,5.8,2.8,5.1,2.4,0,1
105,115,6.4,3.2,5.3,2.3,0,1
106,116,6.5,3.0,5.5,1.8,0,1
107,117,7.7,3.8,6.7,2.2,0,1
108,118,7.7,2.6,6.9,2.3,0,1
109,119,6.0,2.2,5.0,1.5,0,1
110,120,6.9,3.2,5.7,2.3,0,1
111,121,5.6,2.8,4.9,2.0,0,1
112,122,5.6,2.8,6.7,2.0,0,1
113,123,6.3,2.7,4.9,1.8,0,1
114,124,6.7,3.3,5.7,2.1,0,1
115,125,7.2,3.2,6.0,1.8,0,1
116,126,6.2,2.8,4.8,1.8,0,1
117,127,6.1,3.0,4.9,1.8,0,1
118,128,6.4,2.8,5.6,2.1,0,1
119,129,7.2,3.0,5.8,1.6,0,1
120,130,7.4,2.8,6.1,1.9,0,1
121,131,7.9,3.8,6.4,2.0,0,1
122,132,6.4,2.8,5.6,2.2,0,1
123,133,6.3,2.8,5.1,1.5,0,1
124,134,6.1,2.6,5.6,1.4,0,1
125,135,7.7,3.0,6.1,2.3,0,1
126,136,6.3,3.4,5.6,2.4,0,1
127,137,6.4,3.1,5.5,1.8,0,1
128,138,6.0,3.0,4.8,1.8,0,1
129,139,6.9,3.1,5.4,2.1,0,1
130,140,6.7,3.1,5.6,2.4,0,1
131,141,6.9,3.1,5.1,2.3,0,1
132,142,5.8,2.7,5.1,1.9,0,1
133,143,6.8,3.2,5.9,2.3,0,1
134,144,6.7,3.3,5.7,2.5,0,1
135,145,6.7,3.0,5.2,2.3,0,1
136,146,6.3,2.5,5.0,2.3,0,1
137,147,6.5,3.0,5.2,2.0,0,1
138,148,6.2,3.4,5.4,2.3,0,1
139,149,5.9,3.0,5.1,1.8,0,1
